SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
115009,115009,20100,22700,10068.8,10068.8,2051.51,0,0,0,0.20375,N5
115009,115009,20100,22700,2.5,2.5,0.51,0,0,0,0.20375,N5
2003821,2003821,10100,13000,6932.95,6932.91,2116.27,6.93,0,0.001,0.30525,NA
2003821,1000019,10100,13000,4324.17,4324.19,1319.96,4.32,0,0.001,0.30525,NA
2003821,2003821,10100,13000,368.77,368.78,112.57,0.37,0,0.001,0.30525,NA
260393,260393,10100,22800,-256.35,-256.31,-78.24,-0.26,0,0.001,0.30525,NA
260393,260393,20100,22800,256.35,256.31,78.24,0.26,0,0.001,0.30525,NA
153047,1000019,20100,22800,46,46,46,0,0,0,1,I8
153047,153047,20100,22800,207,207,207,0,0,0,1,I8
153291,153291,20100,22900,45629.3,45629.3,14270.6,45.63,0,0.001,0.31275,I4
153291,1000019,20100,22900,9689.35,9689.36,3030.35,9.69,0,0.001,0.31275,I4
153291,153291,20100,22900,-0.05,-0.03,-0.01,0,0,0.001,0.31275,I4
153047,153047,20100,22900,30713.8,30713.9,9605.76,30.71,0,0.001,0.31275,I4
153047,1000019,20100,22900,9451.35,9451.38,2955.92,9.45,0,0.001,0.31275,I4
153047,153047,20100,22900,9035.58,9035.62,2825.89,9.04,0,0.001,0.31275,I4
115009,115009,20700,21300,807.5,807.5,164.53,0,0,0,0.20375,N5
115009,115009,20700,21300,-0.37,-0.34,-0.07,0,0,0,0.20375,N5
115009,115009,22100,22700,6120.75,6120.72,1247.1,0,0,0,0.20375,N5
115009,115009,22100,22700,1.5,1.47,0.3,0,0,0,0.20375,N5
115009,115009,22800,30500,18617,18617,3793.21,0,0,0,0.20375,N5
115009,115009,22800,30500,4.62,4.56,0.93,0,0,0,0.20375,N5
260541,260541,10100,13100,1706.21,6825,371.43,1.28,0,0.00075,0.217688,6B
260541,260541,10100,13100,147,587.8,31.99,0.11,0,0.00075,0.217688,6B
114492,114492,20100,22900,9314.77,9314.75,2866.61,9.31,0,0.001,0.30775,7A
114492,114492,20100,22900,2145.31,2145.23,614.5,2.15,0,0.001,0.28645,7D
114492,114492,20100,22900,372.38,372.38,114.6,0.37,0,0.001,0.30775,7A
202897,202897,20100,22900,52559.2,52559.2,16043.7,52.56,0,0.001,0.30525,6A
202897,1000019,20100,22900,12445.7,12445.8,3799.07,12.45,0,0.001,0.30525,6A
202897,202897,20100,22900,3230.04,3230,703.13,2.42,0,0.00075,0.217688,6B
202897,9100428,20100,22900,2700.01,2700,587.76,2.03,0,0.00075,0.217688,6B
202897,202897,20100,22900,2493.69,2493.76,761.22,2.49,0,0.001,0.30525,6A
109897,109897,10100,13000,-840,-840.01,-232.22,0,0,0,0.27645,TM
109897,109897,10100,13000,-45.6,-45.61,-12.61,0,0,0,0.27645,TM
109897,109897,10100,13000,840,840.01,223.82,0,0,0,0.26645,7I
109897,109897,10100,13000,63.06,63.05,16.8,0,0,0,0.26645,7I
109897,109897,10100,13000,15.81,15.8,4.21,0,0,0,0.26645,7I
115009,115009,20700,21300,-17907.6,-17907.6,-3648.67,0,0,0,0.20375,N5
115009,115009,21300,22000,17907.6,17907.6,3648.67,0,0,0,0.20375,N5
115009,115009,21300,22000,525.37,525.35,107.04,0,0,0,0.20375,N5
115009,115009,21300,22000,5.37,5.35,1.09,0,0,0,0.20375,N5
115009,115009,20700,21300,-4.37,-4.42,-0.9,0,0,0,0.20375,N5
207901,207901,10100,13100,196560,196560,60000,196.56,0,0.001,0.30525,6A
207901,100687,10100,13100,54420,54420,11846.5,40.81,0,0.00075,0.217688,6B
207901,102660,10100,13100,3844.95,3845,837.01,2.88,0,0.00075,0.217688,6B
207901,9100428,10100,13100,9440,9440,2054.97,7.08,0,0.00075,0.217688,6B
207901,153442,10100,13100,28660,28660,6238.92,21.49,0,0.00075,0.217688,6B
207901,153163,10100,13100,35444,35444,7715.72,26.58,0,0.00075,0.217688,6B
207901,260034,10100,13100,39338.5,39338.6,8563.52,29.5,0,0.00075,0.217688,6B
207901,207901,10100,13100,10512.7,10512.8,3209.02,10.51,0,0.001,0.30525,6A
104061,104061,10100,13100,9363.94,9363.97,2881.76,9.36,0,0.001,0.30775,7A
